id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,revenue_per_year,price_category,occupancy_potential,facilities
40739263,"15 Mins to Grand Palace, 3 mins to ,Wifi,Market",32455266,Amy,Bang Phlat,13.77953,100.4856,Entire home/apt,871,7,17,2022-12-01 00:00:00,0,10,333,5,290043,Medium,13.03,"AC, MRT"
40740652,A25 温馨两房一厅+衣食住行方便/two bedrooms with a good view.,158654054,Erica,Khlong Toei,13.70484,100.59377,Private room,1184,30,1,2022-07-13 00:00:00,0,27,343,1,406112,High,3.13,
40740902,A penthouse room at Supalai Premier Asoke(37th Fl),314157565,Wachiraphon,Huai Khwang,13.74954,100.56456,Entire home/apt,1200,30,0,-2012,0,1,59,0,70800,High,0.54,
40741875,Private apartment unit for 2-3 persons,243386029,Piyapa,Suanluang,13.711642,100.606834,Entire home/apt,879,1,13,2022-12-22 00:00:00,0,3,354,10,311166,Medium,96.99,
40742036,New Designer 1BR for Family • Top Floor •  Ari,251475219,Kanomping,Phaya Thai,13.78154,100.54925,Entire home/apt,1754,1,38,2022-12-18 00:00:00,1,11,252,26,442008,High,69.04,BTS
40742254,Friendly Stay near Chinatown Sukhumvit Bangkok,302460823,Tawaree,Bang Rak,13.73113,100.51666,Private room,2999,1,0,-2012,0,10,365,0,1094635,High,100.0,
40813283,Alcohol disinfects the room.Safety. Rest assured,66868898,WM•House,Huai Khwang,13.78103,100.57393,Entire home/apt,926,1,5,2020-11-20 00:00:00,0,6,78,0,72228,Medium,21.37,
40814895,"2 Mins walk . 6pplwalk Siam, MBK,CTW,WaterGate",40262107,Patty,Ratchathewi,13.75272,100.52987,Entire home/apt,1429,1,2,2022-09-26 00:00:00,0,39,86,1,122894,High,23.56,BTS
40825222,ProsamgolfHouse,182519749,Somkiat,Lat Phrao,13.82318,100.61103,Private room,5000,2,0,-2012,0,3,180,0,900000,High,24.66,
40826712,"Accommodation in the city center, Ratchada Ladprao",240142807,Napapa,Chatu Chak,13.80542,100.57713,Entire home/apt,550,90,4,2022-08-25 00:00:00,0,1,288,2,158400,Medium,0.88,"AC, City Center"
40826801,Single Room 105,274418925,ชลธิชา,Don Mueang,13.92198,100.58613,Private room,500,1,0,-2012,0,6,346,0,173000,Low,94.79,
40827203,Ekkamai❤1  stop to Thong Lor (night life),101777383,Keang,Khlong Toei,13.7135,100.58325,Entire home/apt,790,2,16,2022-12-11 00:00:00,0,3,101,13,79790,Medium,13.84,BTS
40831716,Q❷市中心46方一房一厅！顶楼360度无边游泳池！+机场快线+步行四面佛、暹罗广场、杰特宁医院,222512870,Yi,Ratchathewi,13.749319,100.543892,Entire home/apt,1710,28,16,2022-11-09 00:00:00,0,10,74,2,126540,High,0.72,BTS
40831729,曼谷低层舒适公寓，素坤威逸路77号,240732679,晨曦,Suanluang,13.71077,100.60346,Entire home/apt,900,10,16,2022-11-23 00:00:00,0,1,127,11,114300,Medium,3.48,
40840306,Q❶曼谷市中心两房一厅！顶楼360度无边游泳池！+机场快线+步行四面佛、暹罗广场、杰特宁医院,222512870,Yi,Parthum Wan,13.74896,100.54307,Entire home/apt,8000,28,5,2020-01-31 00:00:00,0,10,253,0,2024000,Luxury,2.48,BTS
